incident_zip,total_complaints,AHV Inspection Unit,APPLIANCE,Abandoned Bike,Abandoned Vehicle,Air Quality,Animal Facility - No Permit,Animal in a Park,Animal-Abuse,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bench,Bike Rack,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Broken Parking Meter,Building Condition,Building Drinking Water Tank,Building/Use,Bus Stop Shelter Complaint,Bus Stop Shelter Placement,Commercial Disposal Complaint,Construction Lead Dust,Consumer Complaint,Cooling Tower,Cranes and Derricks,Curb Condition,DOOR/WINDOW,Damaged Tree,Day Care,Dead Animal,Dead/Dying Tree,Derelict Vehicles,Dirty Condition,Disorderly Youth,Drinking,Drinking Water,Drug Activity,Dumpster Complaint,E-Scooter,ELECTRIC,ELEVATOR,Electrical,Elevator,Emergency Response Team (ERT),Encampment,FLOORING/STAIRS,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Found Property,GENERAL,General Construction/Plumbing,Graffiti,Green Taxi Complaint,Green Taxi Report,HEAT/HOT WATER,Harboring Bees/Wasps,Hazardous Materials,Homeless Person Assistance,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Dumping,Illegal Fireworks,Illegal Parking,Illegal Posting,Illegal Tree Damage,Incorrect Data,Indoor Air Quality,Indoor Sewage,Industrial Waste,Institution Disposal Complaint,Investigations and Discipline (IAD),Lead,LinkNYC,Litter Basket Complaint,Litter Basket Request,Lost Property,Lot Condition,Maintenance or Facility,Missed Collection,Mobile Food Vendor,Mold,Mosquitoes,New Tree Request,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle,Non-Emergency Police Matter,Non-Residential Heat,OUTSIDE BUILDING,Obstruction,Outdoor Dining,Overgrown Tree/Branches,PAINT/PLASTER,PLUMBING,Panhandling,Pet Shop,Plant,Plumbing,Posting Advertisement,Public Toilet,Real Time Enforcement,Recycling Basket Complaint,Residential Disposal Complaint,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,Sanitation Worker or Vehicle Complaint,Scaffold Safety,School Maintenance,Sewer,Sidewalk Condition,Smoking or Vaping,Special Natural Area District (SNAD),Special Projects Inspection Team (SPIT),Standing Water,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Street Sweeping Complaint,Tattooing,Taxi Complaint,Taxi Compliment,Taxi Report,Tobacco or Non-Tobacco Sale,Traffic,Traffic Signal Condition,UNSANITARY CONDITION,Unleashed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Pigeon Condition,Unspecified,Uprooted Stump,Urinating in Public,Vendor Enforcement,Violation of Park Rules,WATER LEAK,Water Conservation,Water Quality,Water System,Wayfinding,Wood Pile Remaining,top_complaint,top_complaint_count,NAME,total_population,median_income,poverty_universe,below_poverty,white_alone,black_alone,hispanic,poverty_rate
10000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Street Light Condition,13,,,,,,,,,
10001,632,0,0,2,1,1,0,0,4,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,1,6,0,0,1,3,0,0,0,0,2,13,0,0,0,0,4,0,1,2,0,1,1,112,0,8,4,9,0,0,1,6,3,0,0,3,0,1,15,0,0,5,0,48,0,0,0,4,0,0,0,0,2,0,1,1,12,0,0,2,4,0,0,0,15,20,0,0,0,42,16,6,3,0,0,5,6,0,4,2,3,0,0,0,0,0,4,0,6,2,0,1,1,0,1,5,2,0,0,1,0,10,7,0,0,1,0,0,18,0,2,0,3,20,5,0,0,0,0,0,0,0,124,0,4,0,0,3,0,0,Vendor Enforcement,124,ZCTA5 10001,25026.0,96787.0,24140.0,2798.0,15880.0,1619.0,3925.0,0.11590720795360397
10002,856,0,4,2,5,1,0,8,1,2,0,0,0,0,0,4,1,1,0,0,1,0,0,1,1,2,0,0,2,5,3,0,0,0,4,10,0,1,0,1,0,0,17,0,0,3,1,33,1,8,0,13,0,0,5,6,54,0,0,18,0,0,6,0,0,3,0,68,0,2,0,5,0,0,0,0,2,0,1,0,2,0,10,4,0,0,0,0,46,112,3,1,6,155,59,12,10,0,0,5,11,0,2,6,5,0,0,0,0,0,2,0,13,3,0,6,0,0,0,1,5,3,0,1,1,14,8,2,0,1,0,0,7,1,0,0,1,11,10,0,0,0,0,0,0,0,1,1,4,2,0,3,0,0,Noise - Residential,155,ZCTA5 10002,74363.0,35607.0,73597.0,20257.0,23574.0,6645.0,19155.0,0.2752421973721755
10003,686,0,2,1,0,4,0,0,2,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,2,6,0,0,0,0,1,0,2,1,0,10,0,1,0,3,3,0,2,0,0,0,1,79,1,5,2,41,0,0,6,11,11,0,0,28,0,1,36,0,0,5,0,48,0,3,0,2,0,0,0,0,1,0,3,1,2,0,7,8,1,0,0,0,20,37,1,0,13,38,87,8,4,0,0,6,3,0,0,13,4,0,0,0,0,0,5,0,10,1,1,0,0,0,0,1,3,0,0,2,0,15,1,1,2,0,1,0,6,0,0,0,0,8,14,0,0,0,4,0,0,2,3,4,5,0,0,13,0,0,Noise - Street/Sidewalk,87,ZCTA5 10003,54671.0,129981.0,45570.0,4040.0,39951.0,2759.0,4732.0,0.08865481676541584
10004,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,27,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,34,35,0,0,0,15,2,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,1,98,1,0,0,0,0,0,0,Vendor Enforcement,98,ZCTA5 10004,3310.0,204949.0,3310.0,93.0,2259.0,160.0,193.0,0.028096676737160122
10005,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,10,6,1,0,0,2,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,Vendor Enforcement,32,ZCTA5 10005,8664.0,184681.0,8664.0,653.0,6326.0,174.0,529.0,0.07536934441366575
10006,97,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,Vendor Enforcement,38,ZCTA5 10006,3260.0,185268.0,3260.0,205.0,2291.0,156.0,287.0,0.06288343558282208
10007,158,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,19,0,0,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,2,0,0,1,2,2,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,40,2,0,0,0,2,0,0,Vendor Enforcement,40,ZCTA5 10007,7566.0,250001.0,6694.0,100.0,5784.0,623.0,1110.0,0.014938751120406334
10009,564,0,2,2,3,0,0,2,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,1,1,9,0,0,0,0,0,0,1,0,0,5,2,19,2,6,0,16,0,0,2,13,13,0,0,33,0,0,12,0,0,2,0,31,1,3,0,0,0,0,0,0,3,0,0,0,7,0,8,4,0,0,0,0,20,25,1,0,2,83,56,22,8,0,0,1,5,1,14,13,6,0,0,1,0,0,2,0,14,8,0,4,0,0,0,2,1,2,0,3,1,6,3,0,0,0,4,0,1,0,0,0,0,5,11,2,0,0,0,0,0,0,0,1,7,1,0,9,0,0,Noise - Residential,83,ZCTA5 10009,58267.0,68220.0,58212.0,14134.0,34556.0,4581.0,13476.0,0.24280217137359994
10010,306,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,15,0,1,0,0,0,0,2,0,0,1,0,46,0,3,2,4,0,0,0,2,2,0,0,21,0,0,16,0,0,2,0,26,0,0,0,2,0,0,0,0,4,0,0,0,4,0,5,4,1,0,0,0,21,6,0,0,0,20,19,2,1,0,0,1,6,0,1,4,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,Encampment,46,ZCTA5 10010,34763.0,139188.0,32321.0,3259.0,23667.0,3810.0,3138.0,0.10083227622907708
